housing_id,housing_median_age,total_rooms,total_bedrooms,population,median_house_value,households
4560,35,58,52,41,500001,27
4561,10,1529,566,1051,162500,473
4562,16,174,66,249,312500,57
4563,27,326,123,490,175000,105
4564,39,637,273,1150,131300,263
4565,31,1802,613,2382,185900,587
4566,29,680,273,995,165600,249
4567,22,929,238,763,187500,214
4568,37,715,282,1174,225000,300
4569,28,2541,1282,3974,87500,1189
4570,34,1175,428,1593,213300,407
4571,32,1771,788,2188,154200,764
4572,47,786,341,1239,152100,320
4573,44,1657,579,2071,152500,598
4574,30,1416,686,2013,208300,614
4575,18,1177,468,1533,183300,430
4576,45,1072,331,1111,207100,314
4577,33,3247,1281,2642,216700,1182
4578,24,1924,926,2226,265900,792
4579,15,1777,536,1684,190000,489
4580,14,7522,3179,7221,177500,2902
4581,13,1787,853,2251,400000,763
4582,25,2518,1196,3051,175000,1000
4583,5,2124,1168,3915,137500,1137
4584,12,1714,1176,3723,112500,1036
4585,6,564,353,1172,187500,319
4586,8,513,338,1204,275000,321
4587,9,1950,1047,3707,110000,1012
4588,7,350,245,1122,137500,248
4589,3,1292,864,2081,275000,724
4590,4,1261,616,2309,225000,581
4591,11,936,454,990,187500,354
4592,1,2472,15,3795,162500,1179
4593,17,1316,836,2796,325000,784
4594,41,1164,674,1685,225000,541
4595,21,1306,637,2079,275000,598
4596,52,1525,730,2510,162500,652
4597,42,1788,774,2931,158900,702
4598,50,1075,597,2260,162500,614
4599,40,968,384,1805,212500,375
4600,49,661,359,1406,112500,307
4601,48,1784,19,2158,118100,682
4602,51,323,214,751,225000,189
4603,43,535,328,1194,275000,365
4604,2,2156,306,861,500001,311
4605,46,1841,240,693,500001,218
4606,26,2248,255,813,500001,265
4607,20,1482,171,531,500001,161
4608,17,2089,309,883,500001,281
4609,36,1311,310,707,432800,290
4610,19,649,315,987,316700,329
4611,23,3013,1118,2465,290600,1008
4612,38,1554,815,1704,141700,761
4613,35,492,269,634,300000,261
4614,10,2302,1124,2660,253100,1004
4615,16,3056,1345,3920,300000,1304
4616,27,1489,664,1793,230600,556
4617,39,5677,2610,7443,237500,2406
4618,31,2107,757,2660,282300,740
4619,29,2657,738,2274,281700,723
4620,22,2362,949,2759,305600,894
4621,37,2549,630,1539,350900,594
4622,28,2657,794,2149,445000,749
4623,34,2980,366,967,500001,359
4624,32,369,147,145,450000,136
4625,47,983,246,578,500001,204
4626,44,2740,707,1420,404500,664
4627,30,955,100,457,500001,120
4628,18,5062,2055,4533,166700,1822
4629,45,3110,1269,2535,412500,1218
4630,33,3759,12,3296,175000,1462
4631,24,3264,1248,2919,500001,1191
4632,15,1782,896,1749,75000,823
4633,14,2470,1197,2326,325000,1055
4634,13,4021,1707,3727,112500,1529
4635,25,5221,2530,5840,300000,2374
4636,5,1366,740,942,150000,672
4637,12,3894,2293,6846,70000,2156
4638,6,2456,1111,4137,187500,1104
4639,8,1759,1012,2716,350000,877
4640,9,1390,872,2860,137500,827
4641,7,2040,778,2235,233300,697
4642,3,2437,1283,3906,270000,1084
4643,4,3960,1490,3468,475000,1335
4644,11,2512,1203,3720,322200,1118
4645,1,1336,453,1268,500001,426
4646,41,3038,1533,4225,187500,1472
4647,21,1848,667,1351,410000,589
4648,52,2124,756,1920,328900,756
4649,42,2827,1084,3107,360000,993
4650,50,1559,646,1639,380000,567
4651,40,3292,713,2224,291500,674
4652,49,2808,584,1654,436800,569
4653,48,3239,722,1383,337000,612
4654,51,1368,231,737,433800,248
4655,43,2405,527,1868,257800,502
4656,2,1574,390,1323,226300,404
4657,46,1707,519,1446,171300,466
4658,26,1389,364,976,327300,302
4659,20,3343,1183,3480,250000,1146
4660,17,1692,423,1578,305800,406
4661,36,1667,365,1161,417600,384
4662,19,1612,650,2028,115600,593
4663,23,1476,610,1605,214300,545
4664,38,443,223,582,350000,223
4665,35,1386,457,1845,157700,485
4666,10,1744,720,2034,193800,633
4667,16,1417,589,1615,193800,540
4668,27,1102,19,1325,168800,439
4669,39,1723,569,1664,161100,501
4670,31,1453,588,1987,187500,589
4671,29,3585,1661,5229,250000,1534
4672,22,677,370,1143,350000,341
4673,37,2818,1252,4126,229200,1200
4674,28,1801,313,714,479000,293
4675,34,2497,406,1030,500001,412
4676,32,2315,356,894,500001,345
4677,47,2066,319,981,450000,297
4678,44,1421,163,495,500001,167
4679,30,1721,195,688,500001,196
4680,18,1621,284,588,500001,272
4681,45,3421,598,1203,500001,564
4682,33,2756,542,971,500001,510
4683,24,2877,721,1186,175000,704
4684,15,2373,601,1135,225000,576
4685,14,1902,488,848,175000,478
4686,13,890,255,434,450000,232
4687,25,7803,2154,3359,287500,2041
4688,5,1651,410,512,350000,397
4689,12,3312,880,1157,500001,809
4690,6,1821,447,777,355200,441
4691,8,1740,360,748,411100,357
4692,9,2519,10,1117,405600,516
4693,7,2046,451,944,456900,435
4694,3,2203,437,899,486900,384
4695,4,2195,435,884,486400,432
4696,11,2703,663,1045,287500,619
4697,1,2309,526,870,453400,546
4698,41,1084,247,468,474300,255
4699,21,4625,1307,1739,485000,1191
4700,52,4814,1381,1897,375000,1209
4701,42,3653,956,1510,500001,890
4702,50,3175,1057,1594,225000,997
4703,40,3446,1360,1768,500001,1245
4704,49,1314,170,629,500001,214
4705,48,2530,458,1122,321600,449
4706,51,2069,417,826,396000,377
4707,43,1482,336,768,327300,300
4708,2,2837,602,1164,250000,551
4709,46,1354,279,716,385000,309
4710,26,1368,322,617,440900,303
4711,20,2880,836,1416,328800,736
4712,17,3551,826,1601,400000,827
4713,36,2810,670,1109,355000,624
4714,19,2130,455,921,500001,395
4715,23,843,160,333,446000,151
4716,38,1608,289,630,500001,252
4717,35,2522,616,991,362500,574
4718,10,3946,1008,1676,450000,876
4719,16,4345,1158,1987,310000,1070
4720,27,2558,661,1183,500000,636
4721,39,2457,552,1159,345300,523
4722,31,1197,231,671,278500,219
4723,29,1266,234,539,275000,222
4724,22,2369,544,1252,296100,522
4725,37,2239,423,832,470000,411
4726,28,2346,437,1121,444300,400
4727,34,1563,306,776,440900,308
4728,32,2402,506,878,500001,464
4729,47,1825,404,728,322600,363
4730,44,1424,300,632,295200,278
4731,30,1835,380,956,243600,370
4732,18,995,184,462,242000,194
4733,45,1879,395,946,254700,409
4734,33,3518,812,1724,338100,758
4735,24,2053,480,900,417900,417
4736,15,1621,314,724,474100,311
4737,14,1004,231,590,351000,226
4738,13,1241,210,526,334100,214
4739,25,702,17,458,333600,187
4740,5,2352,598,1133,287500,563
4741,12,3517,879,1632,500001,784
4742,6,2815,679,1533,234100,594
4743,8,1856,493,1374,158000,469
4744,9,1372,14,674,202100,271
4745,7,2283,15,1093,252000,475
4746,3,2149,451,905,290800,443
4747,4,2009,419,1130,213500,402
4748,11,975,292,723,140600,285
4749,1,1971,414,1065,195800,409
4750,41,2194,504,997,259400,438
4751,21,2965,812,2638,172700,794
4752,52,1294,330,1140,165000,313
4753,42,1184,328,953,156300,311
4754,50,1090,251,955,192500,239
4755,40,3015,795,2300,268500,725
4756,49,2545,401,1004,420000,372
4757,48,2099,472,1369,167100,465
4758,51,2345,607,2042,139700,565
4759,43,2064,662,2140,127100,617
4760,2,1466,529,1835,123200,500
4761,46,1956,601,1672,150700,546
4762,26,1104,266,668,151600,297
4763,62,1579,357,713,179200,335
4764,41,1769,429,993,139400,405
4765,21,1767,417,1052,157000,379
4766,52,1626,375,1019,146800,372
4767,42,1690,379,1017,133500,359
4768,50,1236,20,966,122200,292
4769,40,3239,806,2331,125800,765
4770,49,1617,423,1110,169400,375
4771,48,865,208,537,110900,183
4772,51,1839,459,1312,138000,460
4773,43,1681,360,987,171400,337
4774,2,1426,331,784,118800,356
4775,46,2010,494,1203,134600,427
4776,26,1438,333,794,138100,306
4777,20,1806,444,1161,161500,393
4778,17,2314,624,1714,183900,582
4779,36,2437,443,1400,251100,426
4780,19,1989,532,1430,151100,519
4781,23,1766,404,1117,168800,367
4782,38,1008,223,544,176800,223
4783,35,3189,935,2221,114000,801
4784,10,2840,826,1911,137500,688
4785,16,1082,198,455,223200,193
4786,27,1845,349,1109,127800,335
4787,39,1734,453,1272,121500,438
4788,31,2511,587,1660,127100,546
4789,29,2010,460,1355,133400,433
4790,22,1648,346,1120,114200,338
4791,37,1667,399,928,118200,375
4792,28,1528,391,933,125700,366
4793,34,2312,625,1552,125000,603
4794,32,1614,320,684,181000,318
4795,47,2067,385,1046,156900,441
4796,44,2334,530,1334,124000,447
4797,30,2122,524,1510,123300,436
4798,18,427,92,233,134700,116
4799,45,2043,512,1634,125400,501
4800,33,1083,342,1023,143800,295
4801,24,2323,661,1847,113500,614
4802,15,1400,376,1139,120000,315
4803,14,1819,499,1666,125900,482
4804,13,2365,638,2259,120700,607
4805,25,1350,287,811,140900,307
4806,5,2437,502,1151,134100,477
4807,12,1609,371,896,136600,389
4808,6,1172,261,685,130300,260
4809,8,1295,276,765,130200,265
4810,9,1927,561,1349,125000,508
4811,7,1356,333,796,189700,329
4812,3,1425,285,838,188400,296
4813,4,1944,458,981,193200,377
4814,11,1627,838,3013,152500,791
4815,1,1155,433,1857,153400,424
4816,41,659,291,1224,132500,290
4817,21,907,349,1426,143800,323
4818,52,1353,488,1945,123700,487
4819,42,1757,522,2080,180000,488
4820,50,1005,314,1227,162500,306
4821,40,993,506,1765,121900,464
4822,49,1864,515,1768,190600,439
4823,48,2007,571,1513,229200,554
4824,51,1809,640,2543,500000,640
4825,43,2691,726,2390,208300,681
4826,2,2038,578,2070,214600,570
4827,46,2438,867,2114,150000,753
4828,26,2206,501,1194,227800,435
4829,20,1277,285,954,234600,334
4830,17,2092,585,1757,175000,538
4831,36,1470,399,1579,150000,390
4832,19,2338,686,2376,170300,630
4833,23,1941,579,2049,143000,535
4834,38,1653,426,1868,162500,393
4835,35,1090,345,1605,152800,330
4836,10,700,299,1272,128100,298
4837,16,432,182,702,125000,186
4838,27,1680,557,2099,136400,526
4839,39,943,289,953,151600,238
4840,31,907,378,822,179200,288
4841,29,3544,1384,3323,258300,1213
4842,22,1501,437,1777,135200,441
4843,37,3313,1235,2381,168800,1063
4844,28,1084,287,1085,119600,279
4845,34,2173,510,1343,135500,476
4846,32,1902,406,1233,132200,385
4847,47,1173,284,814,111400,295
4848,44,1555,324,931,105800,265
4849,30,1423,278,822,98100,276
4850,18,1832,441,1186,98400,420
4851,45,2241,559,1775,147900,504
4852,33,1695,374,1138,150000,357
4853,24,1315,13,785,138400,245
4854,15,2781,766,2586,187500,729
4855,14,2041,517,1479,156600,495
4856,13,1703,397,1333,127100,361
4857,25,1976,469,1409,112100,431
4858,5,2120,483,1522,116800,416
4859,12,1641,491,1526,141300,453
4860,6,3184,772,2474,137500,705
4861,8,1933,478,1522,119300,423
4862,9,515,229,2690,500001,217
4863,7,395,232,948,175000,243
4864,3,1280,422,1560,125000,381
4865,4,460,241,890,162500,229
4866,11,1283,545,1932,160200,516
4867,1,1582,780,2390,200000,719
4868,41,1193,454,1880,180000,453
4869,21,1273,474,1754,275000,460
4870,52,1933,791,3121,147500,719
4871,42,2118,796,2195,164600,658
4872,50,1521,513,1772,162500,458
4873,40,2004,633,3050,127300,621
4874,49,281,103,470,38800,96
4875,48,561,284,662,187500,205
4876,51,2107,809,2821,350000,572
4877,43,1407,550,1193,225000,472
4878,2,180,89,356,158300,76
4879,46,142,47,137,312500,45
4880,26,299,90,287,100000,68
4881,20,1274,418,1655,124000,368
4882,17,1375,448,1698,130700,432
4883,36,980,285,1308,123100,310
4884,19,1091,349,1786,136500,340
4885,23,1259,362,1499,126400,327
4886,38,1551,501,2173,117700,474
4887,35,1465,440,1859,96200,400
4888,10,1249,357,1607,114800,331
4889,16,848,323,1428,109600,313
4890,27,698,232,1046,119500,228
4891,39,1368,486,2239,114300,461
4892,31,1676,525,2564,100800,515
4893,29,481,136,596,90300,128
4894,22,1311,410,1792,119900,396
4895,37,542,150,571,90600,114
4896,28,396,99,485,107500,110
4897,34,1456,444,2098,99200,433
4898,32,1301,403,1952,100800,377
4899,47,405,86,376,127500,68
4900,44,782,270,1030,93400,235
4901,30,879,262,1034,99300,236
4902,18,1429,386,1412,107200,354
4903,45,1575,475,1980,100500,469
4904,33,962,291,1280,110200,263
4905,24,697,208,749,118800,206
4906,15,1269,323,1628,115800,325
4907,14,2451,668,2824,99600,598
4908,13,990,289,1167,126800,281
4909,25,879,253,1010,118300,221
4910,5,1314,375,1505,97200,366
4911,12,1193,355,1784,116100,341
4912,6,1672,556,2106,129200,519
4913,8,921,264,881,114100,221
4914,9,1235,385,1745,113300,372
4915,7,1748,428,1707,103800,409
4916,3,1869,461,1834,107400,441
4917,4,780,237,888,95800,215
4918,11,2179,682,2624,108200,609
4919,1,1733,492,1776,104200,453
4920,41,1033,267,1112,105800,229
4921,21,1176,309,1267,105000,292
4922,52,1218,342,1292,102900,304
4923,42,1768,475,1721,90400,474
4924,50,1905,552,2194,95800,521
4925,40,588,157,716,87500,173
4926,49,863,206,788,95000,187
4927,48,1419,363,1696,101300,317
4928,51,1715,414,1714,108200,389
4929,43,448,116,504,98600,96
4930,2,1425,372,1803,88200,353
4931,46,2261,574,2496,98500,527
4932,26,1274,319,1362,107900,324
4933,33,1611,479,1457,91900,458
4934,24,2615,697,2484,103400,630
4935,15,2099,599,2311,101500,529
4936,14,1638,434,1213,110800,390
4937,13,1258,381,1276,106900,358
4938,25,1865,465,1916,95000,438
4939,5,2016,505,1807,103500,464
4940,12,504,140,529,100000,123
4941,6,932,294,1153,100000,282
4942,8,1407,447,1783,97100,402
4943,9,441,167,621,162500,144
4944,7,1098,426,1510,156300,374
4945,3,885,312,799,143800,221
4946,4,4217,1095,3298,122300,949
4947,11,2190,626,1768,103800,528
4948,1,2001,582,2044,118800,557
4949,41,2386,670,2327,108000,661
4950,21,1147,290,818,111700,281
4951,52,1463,354,912,109400,293
4952,42,1046,216,727,116900,201
4953,50,2255,533,1568,115200,470
4954,40,2073,566,1246,117100,547
4955,49,2217,489,1227,108800,448
4956,48,2544,532,1357,121000,498
4957,51,2547,475,1417,123200,444
4958,43,1793,350,1303,123700,366
4959,2,814,223,511,123200,188
4960,46,2238,673,2247,125000,583
4961,26,1743,421,1206,116000,384
4962,20,1908,428,1271,136200,394
4963,17,1444,343,1154,134400,334
4964,36,2305,775,2450,132000,740
4965,19,1650,463,1992,114100,458
4966,23,1487,468,1509,112500,403
4967,38,751,207,1010,137500,231
4968,35,1385,518,1730,142500,472
4969,10,2601,794,3080,122900,770
4970,16,713,245,880,103600,237
4971,27,795,308,1118,131300,275
4972,39,483,190,775,126600,188
4973,31,3335,921,3612,118800,887
4974,29,1534,417,1295,119200,380
4975,22,855,284,890,112500,247
4976,37,2636,725,2182,124000,651
4977,28,1514,376,1353,96100,344
4978,34,1753,387,1165,105800,380
4979,32,1807,493,1731,111700,471
4980,47,1319,295,898,128600,271
4981,44,1131,281,859,134600,230
4982,30,1420,355,1080,116100,353
4983,18,2579,494,1558,109600,458
4984,45,1686,377,982,116400,356
4985,33,1296,246,853,111600,238
4986,24,1542,309,939,129100,276
4987,15,1718,354,1026,128000,312
4988,14,1630,379,1413,120000,405
4989,13,2709,642,1751,122500,613
4990,25,1551,362,1329,116400,322
4991,5,2235,433,1363,101400,433
4992,12,1525,359,982,126600,333
4993,6,1489,339,791,104800,316
4994,8,1703,358,789,100000,249
4995,9,2608,636,1766,114800,596
4996,7,2637,588,1903,96500,521
4997,3,2212,533,1903,101100,554
4998,4,2577,703,2446,98300,687
4999,11,2198,530,2067,103400,497
5000,1,1283,342,1363,101900,329
5001,41,2174,481,1861,95000,484
5002,21,1211,321,1153,99300,282
5003,52,3104,645,1498,128000,581
5004,42,1655,256,672,194300,260
5005,50,1949,308,823,189700,340
5006,40,1842,377,817,157700,341
5007,49,1745,371,1079,123400,368
5008,48,2223,361,968,182600,373
5009,51,1320,259,653,193000,291
5010,43,2043,378,869,181100,416
5011,2,4032,913,1622,165800,848
5012,46,2227,564,956,187500,472
5013,26,1762,463,786,188500,445
5014,20,2182,492,878,181300,493
5015,17,3250,693,2300,112600,675
5016,36,2189,460,1097,120900,469
5017,19,1671,388,895,121500,317
5018,23,825,187,416,133300,173
5019,38,873,320,529,151600,308
5020,35,2028,479,1074,98700,394
5021,10,1407,269,889,114200,283
5022,16,1918,387,1041,126500,364
5023,27,1582,315,777,149600,286
5024,39,2009,335,919,170500,297
5025,31,1260,284,791,115200,280
5026,29,1257,232,735,108900,232
5027,22,2224,550,1598,122500,545
5028,37,1217,322,662,140300,305
5029,28,949,210,574,114700,217
5030,34,1298,277,791,104300,255
5031,32,1528,331,864,101000,308
5032,47,1611,339,921,103300,314
5033,44,3889,1199,3121,113900,1046
5034,30,1784,489,1472,108900,476
5035,18,3063,796,2153,149100,721
5036,45,2225,433,1170,140400,401
5037,33,2126,409,1292,149000,414
5038,24,2183,380,927,180100,371
5039,15,2512,461,1082,207600,426
5040,14,397,132,250,166700,121
5041,13,1448,314,861,108600,310
5042,25,1778,320,795,138800,279
5043,5,1412,333,901,118600,328
5044,12,3112,931,2739,118500,841
5045,6,2526,579,1423,158800,573
5046,8,1830,369,922,156400,377
5047,9,3745,798,1502,195800,808
5048,7,3140,466,1214,350400,464
5049,3,2263,430,900,246800,382
5050,4,1893,450,819,140600,426
5051,11,1249,313,625,170500,336
5052,1,1359,359,655,312500,341
5053,41,4291,1102,1941,106300,953
5054,21,2318,735,1407,266700,702
5055,52,1527,246,608,187800,245
5056,42,3978,1073,2725,167900,1035
5057,50,5218,1576,3538,118800,1371
5058,40,3358,1069,2415,87500,956
5059,49,3246,601,1585,353200,603
5060,48,3776,16,1583,332100,749
5061,51,3085,621,1162,301000,558
5062,43,1138,304,1128,100000,311
5063,2,1971,513,1673,103000,464
5064,46,979,235,857,108900,236
5065,26,1582,416,1422,108300,370
5066,20,1902,398,1153,112900,363
5067,17,1458,326,1159,98200,283
5068,36,1534,384,1231,94500,329
5069,19,1597,388,902,93300,321
5070,23,1701,452,1484,91400,427
5071,38,222,54,234,111700,77
5072,35,857,196,694,108000,228
5073,10,1837,426,1062,96500,343
5074,16,1607,331,900,96600,295
5075,27,1985,454,1090,106600,410
5076,39,1975,379,1043,112200,371
5077,31,1993,446,1052,119800,394
5078,29,2261,555,1348,97200,455
5079,22,1124,231,783,93100,223
5080,37,1371,315,986,94000,277
5081,28,2010,445,1208,95800,404
5082,34,1998,410,1176,102400,382
5083,32,1242,270,811,95200,274
5084,47,2833,768,2542,100000,725
5085,44,1118,300,786,110000,254
5086,30,1306,345,1332,92200,331
5087,18,865,193,782,93000,217
5088,45,1720,416,1382,92300,365
5089,33,883,313,726,121400,277
5090,24,1162,318,1207,100000,289
5091,15,1068,271,1091,102600,281
5092,14,2017,566,2063,107000,521
5093,13,2305,634,1978,100000,568
5094,25,2660,672,2133,107300,588
5095,5,1425,317,1140,98500,304
5096,12,1521,289,1074,99800,285
5097,6,944,200,567,124100,190
5098,8,2270,451,1000,119400,412
5099,9,1595,325,823,124200,302
5100,7,2066,422,1156,125800,380
5101,3,1629,277,819,142600,288
5102,4,1541,314,819,136100,312
5103,11,1353,286,751,131700,250
5104,1,1843,326,892,120000,314
5105,17,1823,358,1065,131000,342
5106,41,1558,333,1095,133500,316
5107,21,2490,430,1305,149600,411
5108,52,2104,393,1132,142000,394
5109,42,2118,569,1266,121000,500
5110,50,2149,493,1316,131800,462
5111,40,1686,303,870,136300,320
5112,49,2015,356,1020,138700,338
5113,48,3139,587,1319,134200,506
5114,51,1717,417,902,113200,368
5115,43,2009,442,1095,109500,439
5116,2,2802,618,1524,136300,529
5117,46,1175,340,1241,98400,352
5118,26,2074,562,1913,102100,514
5119,20,2771,802,2782,99000,715
5120,17,4022,1208,3707,116300,1007
5121,36,2112,417,1161,117400,368
5122,19,2523,460,1167,127400,413
5123,23,1586,322,1077,140400,339
5124,38,2005,392,1134,140300,415
5125,35,1702,443,1966,97500,442
5126,10,1966,584,2028,101500,535
5127,16,1454,323,1098,104000,297
5128,33,656,162,730,101800,170
5129,24,1240,312,1100,97500,311
5130,15,1696,424,1502,99200,429
5131,14,2062,588,1933,97000,570
5132,13,1722,457,2177,92500,401
5133,25,762,206,854,98200,188
5134,5,1295,351,1120,98200,323
5135,12,1246,308,1031,96300,295
5136,6,1521,352,1100,100600,334
5137,8,1086,249,880,95700,250
5138,9,1546,371,1186,96800,366
5139,7,2180,642,2464,90100,631
5140,3,2569,688,2601,101400,630
5141,4,1819,497,2110,97300,499
5142,11,977,295,1073,86400,292
5143,1,796,203,697,92600,177
5144,41,1812,500,1640,99100,447
5145,21,1504,374,1168,94200,358
5146,52,1475,347,1222,95300,298
5147,42,1255,323,902,94000,327
5148,50,1331,346,1144,90600,362
5149,40,1462,394,1310,90100,351
5150,49,1126,270,999,91700,265
5151,48,1040,276,1083,90900,255
5152,51,1529,358,1154,97900,357
5153,43,1387,346,1240,95100,355
5154,2,1513,369,1088,94400,344
5155,46,1542,375,1256,100000,361
5156,26,1625,383,1243,89800,350
5157,20,1604,399,1581,96700,387
5158,17,2044,538,2150,94800,524
5159,36,1206,304,1167,101300,250
5160,19,882,221,697,99100,189
5161,23,1983,611,2048,91400,600
5162,38,1401,362,1357,99300,327
5163,35,721,205,842,89700,208
5164,10,1340,409,1463,111400,367
5165,16,2808,695,2357,102300,627
5166,27,1701,428,1468,93200,411
5167,39,1201,292,840,105600,252
5168,31,1089,278,995,107700,315
5169,29,2073,494,1753,93600,490
5170,22,1156,291,1074,94900,299
5171,37,1041,275,877,91600,270
5172,28,637,204,679,89700,162
5173,34,835,208,707,86200,192
5174,32,935,226,818,101300,236
5175,47,987,248,902,98000,221
5176,44,1261,315,1027,88800,303
5177,30,1579,351,1056,98500,322
5178,18,1405,326,1086,89800,273
5179,45,1080,218,850,93400,237
5180,33,1771,378,1296,96700,399
5181,24,1481,329,999,94600,315
5182,15,1103,265,760,99600,247
5183,14,1002,270,1092,94500,273
5184,13,1510,410,1408,94200,389
5185,25,1314,318,1080,89800,285
5186,5,795,181,716,90300,167
5187,12,1562,403,1587,93200,406
5188,6,570,135,466,91300,121
5189,8,721,165,661,92400,171
5190,9,973,221,842,94900,178
5191,7,1467,369,1247,92700,347
5192,3,1102,247,702,95400,225
5193,4,1433,295,775,104800,293
5194,11,657,147,526,110200,132
5195,1,1076,244,705,98900,255
5196,41,1465,346,1147,88800,324
5197,21,1309,344,1182,88700,340
5198,52,1764,397,1406,93100,362
5199,42,2078,561,1901,96900,504
5200,50,847,278,1283,94100,277
5201,40,1381,375,1268,94200,354
5202,49,456,130,438,81300,114
5203,48,1631,338,1197,100000,355
5204,51,1898,460,1503,97400,429
5205,43,2021,379,1051,129900,352
5206,2,1782,338,1003,105700,329
5207,46,936,257,913,122600,226
5208,26,1935,461,1616,120200,433
5209,20,896,198,605,128100,168
5210,17,2073,500,1657,88400,470
5211,36,1274,282,975,90400,277
5212,19,269,74,295,90600,79
5213,23,529,112,448,90600,120
5214,38,117,33,74,90600,45
5215,35,1463,312,940,99800,312
5216,10,1113,378,1305,91300,334
5217,16,793,19,736,90400,231
5218,27,2667,671,2865,87500,683
5219,39,1193,280,1210,89500,286
5220,31,649,147,653,97500,147
5221,29,2316,543,1938,97400,507
5222,22,1260,342,1167,107600,310
5223,37,2136,16,1799,95700,476
5224,28,441,125,390,90200,98
5225,34,764,200,801,100000,220
5226,32,975,270,1068,87500,270
5227,47,2452,734,2664,100000,667
5228,44,819,233,899,85400,228
5229,30,869,241,1040,84200,233
5230,18,796,180,673,88300,144
5231,45,1027,258,824,86300,248
5232,33,779,201,861,89800,219
5233,24,380,106,411,90000,100
5234,15,1215,273,1211,95500,265
5235,14,1141,258,1313,90100,234
5236,13,1090,267,1339,97600,263
5237,25,1110,12,1417,92100,302
5238,5,940,211,1071,92000,204
5239,12,501,123,487,87000,118
5240,6,2065,532,2015,104900,535
5241,8,1063,282,992,88700,253
5242,9,6447,1012,2184,500001,960
5243,7,5578,753,1567,500001,697
5244,3,2089,303,654,500001,270
5245,4,10806,1440,3511,500001,1352
5246,11,1613,200,497,500001,197
5247,1,10722,1617,3731,500001,1511
5248,41,3129,392,862,500001,334
5249,21,778,90,238,500001,93
5250,52,1500,176,384,500001,145
5251,42,6675,842,2092,500001,796
5252,50,3247,525,1065,500001,484
5253,40,8041,1141,2768,500001,1106
5254,49,6603,879,2336,500001,868
5255,48,4767,777,1500,500001,638
5256,51,3351,484,1564,500001,523
5257,43,4042,549,1318,500001,542
5258,2,2861,360,829,500001,310
5259,46,2929,366,1054,500001,352
5260,26,9013,1117,2919,500001,1061
5261,20,1487,163,414,500001,160
5262,17,5477,833,1925,500001,757
5263,36,1814,325,709,500001,311
5264,19,1985,315,819,500001,340
5265,23,7970,1142,2926,500001,1096
5266,38,6778,1092,2540,500001,1052
5267,35,1482,239,617,500001,242
5268,10,2095,343,662,500001,299
5269,16,2332,349,761,500001,325
5270,27,3755,525,1493,500001,526
5271,39,9075,1858,3646,500001,1724
5272,31,993,130,368,500001,134
5273,29,2167,254,761,500001,256
5274,22,1711,264,735,500001,261
5275,37,4350,763,1551,500001,665
5276,28,4152,542,1461,500001,550
5277,34,2603,456,928,500001,410
5278,32,4715,691,1660,500001,637
5279,47,1271,190,419,500001,171
5280,44,3030,433,916,500001,399
5281,30,3623,528,1282,500001,516
5282,18,1918,216,632,500001,224
5283,45,6577,1789,2937,500001,1652
5284,33,5448,1532,2202,500001,1442
5285,24,2689,719,1229,500001,663
5286,15,4077,1151,1719,337500,1017
5287,14,3639,1002,1489,387500,983
5288,13,5215,1193,2048,500001,1121
5289,25,4401,1033,1725,500001,962
5290,5,2143,434,751,500001,396
5291,12,1346,214,415,500001,209
5292,6,1399,148,410,500001,152
5293,8,3203,483,949,500001,439
5294,9,3251,656,1251,500001,593
5295,7,3535,748,1322,500001,666
5296,3,1973,332,1257,500001,296
5297,4,3910,959,1763,500001,867
5298,11,730,263,965,350000,224
5299,1,520,292,282,500001,213
5300,17,4284,1452,3806,350000,1252
5301,41,4845,1609,3751,350000,1539
5302,21,3367,1264,2667,500000,1131
5303,52,1302,215,482,500001,226
5304,42,2511,456,808,500001,407
5305,50,2418,301,850,500001,318
5306,40,2564,460,913,500001,414
5307,49,5102,1695,2609,500001,1450
5308,48,4780,1192,1886,500001,1036
5309,51,1880,435,798,500000,417
5310,43,5368,1312,2269,316700,1232
5311,2,3184,641,911,500001,463
5312,46,1463,267,601,500001,267
5313,26,4251,1073,1581,500001,881
5314,20,4833,1119,1649,500001,807
5315,17,2933,565,1077,500001,536
5316,36,1317,284,523,500001,274
5317,19,2982,664,1122,500001,572
5318,23,4600,1018,1675,500001,932
5319,38,533,90,291,500001,97
5320,35,1881,334,640,500001,321
5321,10,4888,1126,1698,500001,937
5322,16,1693,290,727,500001,305
5323,33,3832,949,1613,477300,893
5324,24,5943,1538,2492,305000,1429
5325,15,3970,871,1588,500001,791
5326,14,2425,435,962,494700,412
5327,13,801,399,936,181300,406
5328,25,3319,1045,1848,283300,940
5329,5,3771,1321,2031,277500,1241
5330,12,6902,2138,3136,410000,1844
5331,6,4099,1287,2103,275000,1217
5332,8,3522,1036,1820,337500,977
5333,9,5041,1491,2719,268800,1420
5334,7,3330,1010,1837,393800,915
5335,3,2142,718,1390,325000,699
5336,4,2768,850,1558,360000,784
5337,11,2729,897,1404,420800,758
5338,1,2621,707,1632,348100,673
5339,41,2819,648,1435,360200,593
5340,21,727,168,520,300000,175
5341,52,1657,402,931,336300,363
5342,42,32,7,14,225000,7
5343,50,18,6,3,350000,4
5344,40,2670,662,1535,347800,631
5345,49,1782,308,735,485100,307
5346,48,1508,276,639,409800,273
5347,51,2725,569,1115,427500,516
5348,43,9728,2211,3026,500001,1899
5349,2,2921,652,1124,500001,608
